Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via_de_acesso;Ordem via de acesso;ano;Mês;Ordem mês;Chegadas
Europa;6;Irlanda;117;São Paulo;25;Aérea;1;2010;janeiro;1;465
Europa;6;Itália;120;São Paulo;25;Aérea;1;2010;janeiro;1;11341
Europa;6;Noruega;164;São Paulo;25;Aérea;1;2010;janeiro;1;673
Europa;6;Polônia;177;São Paulo;25;Aérea;1;2010;janeiro;1;701
Europa;6;Portugal;179;São Paulo;25;Aérea;1;2010;janeiro;1;6346
Europa;6;República Tcheca;187;São Paulo;25;Aérea;1;2010;janeiro;1;206
Europa;6;Rússia;190;São Paulo;25;Aérea;1;2010;janeiro;1;726
Europa;6;Suécia;215;São Paulo;25;Aérea;1;2010;janeiro;1;1506
Europa;6;Suíça;216;São Paulo;25;Aérea;1;2010;janeiro;1;3032
Europa;6;Outros países;998;São Paulo;25;Aérea;1;2010;janeiro;1;2187
Oceania;7;Austrália;14;São Paulo;25;Aérea;1;2010;janeiro;1;1017
Oceania;7;Nova Zelândia;166;São Paulo;25;Aérea;1;2010;janeiro;1;195
Oceania;7;Outros países;998;São Paulo;25;Aérea;1;2010;janeiro;1;17
Continente não especificado;8;Países não especificados;999;São Paulo;25;Aérea;1;2010;janeiro;1;6
