Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via_de_acesso;Ordem via de acesso;ano;Mês;Ordem mês;Chegadas
América Central e Caribe;2;Panamá;170;São Paulo;25;Aérea;1;2014;janeiro;1;194
América Central e Caribe;2;Outros países;998;São Paulo;25;Aérea;1;2014;janeiro;1;433
América do Norte;3;Canadá;38;São Paulo;25;Aérea;1;2014;janeiro;1;2411
América do Norte;3;Estados Unidos;68;São Paulo;25;Aérea;1;2014;janeiro;1;13526
América do Norte;3;México;148;São Paulo;25;Aérea;1;2014;janeiro;1;1939
América do Sul;4;Argentina;11;São Paulo;25;Aérea;1;2014;janeiro;1;33676
América do Sul;4;Bolívia;26;São Paulo;25;Aérea;1;2014;janeiro;1;3617
América do Sul;4;Chile;42;São Paulo;25;Aérea;1;2014;janeiro;1;8067
América do Sul;4;Colômbia;48;São Paulo;25;Aérea;1;2014;janeiro;1;3395
América do Sul;4;Equador;63;São Paulo;25;Aérea;1;2014;janeiro;1;738
América do Sul;4;Guiana Francesa;87;São Paulo;25;Aérea;1;2014;janeiro;1;0
América do Sul;4;Paraguai;173;São Paulo;25;Aérea;1;2014;janeiro;1;2962
América do Sul;4;Peru;174;São Paulo;25;Aérea;1;2014;janeiro;1;2385
América do Sul;4;Guiana;86;São Paulo;25;Aérea;1;2014;janeiro;1;8
América do Sul;4;Suriname;217;São Paulo;25;Aérea;1;2014;janeiro;1;3
América do Sul;4;Uruguai;234;São Paulo;25;Aérea;1;2014;janeiro;1;2568
América do Sul;4;Venezuela;238;São Paulo;25;Aérea;1;2014;janeiro;1;2429
Ásia;5;China;43;São Paulo;25;Aérea;1;2014;janeiro;1;1539
Ásia;5;Índia;113;São Paulo;25;Aérea;1;2014;janeiro;1;742
Ásia;5;Israel;119;São Paulo;25;Aérea;1;2014;janeiro;1;740
Ásia;5;Japão;122;São Paulo;25;Aérea;1;2014;janeiro;1;2196
Ásia;5;República da Coreia;184;São Paulo;25;Aérea;1;2014;janeiro;1;1652
Ásia;5;Outros países;998;São Paulo;25;Aérea;1;2014;janeiro;1;1401
Europa;6;Alemanha;4;São Paulo;25;Aérea;1;2014;janeiro;1;6966
Europa;6;Áustria;15;São Paulo;25;Aérea;1;2014;janeiro;1;633
Europa;6;Bélgica;21;São Paulo;25;Aérea;1;2014;janeiro;1;658
Europa;6;Dinamarca;57;São Paulo;25;Aérea;1;2014;janeiro;1;543
Europa;6;Espanha;67;São Paulo;25;Aérea;1;2014;janeiro;1;3866
Europa;6;Finlândia;73;São Paulo;25;Aérea;1;2014;janeiro;1;290
Europa;6;França;74;São Paulo;25;Aérea;1;2014;janeiro;1;3562
Europa;6;Grécia;81;São Paulo;25;Aérea;1;2014;janeiro;1;154
Europa;6;Holanda;92;São Paulo;25;Aérea;1;2014;janeiro;1;1194
Europa;6;Hungria;94;São Paulo;25;Aérea;1;2014;janeiro;1;107
Europa;6;Reino Unido/ Inglaterra;182;São Paulo;25;Aérea;1;2014;janeiro;1;3108
Europa;6;Irlanda;117;São Paulo;25;Aérea;1;2014;janeiro;1;444
Europa;6;Itália;120;São Paulo;25;Aérea;1;2014;janeiro;1;4837
Europa;6;Noruega;164;São Paulo;25;Aérea;1;2014;janeiro;1;344
Europa;6;Polônia;177;São Paulo;25;Aérea;1;2014;janeiro;1;451
Europa;6;Portugal;179;São Paulo;25;Aérea;1;2014;janeiro;1;3889
Europa;6;República Tcheca;187;São Paulo;25;Aérea;1;2014;janeiro;1;147
Europa;6;Rússia;190;São Paulo;25;Aérea;1;2014;janeiro;1;546
Europa;6;Suécia;215;São Paulo;25;Aérea;1;2014;janeiro;1;943
Europa;6;Suíça;216;São Paulo;25;Aérea;1;2014;janeiro;1;1741
Europa;6;Outros países;998;São Paulo;25;Aérea;1;2014;janeiro;1;1834
Oceania;7;Austrália;14;São Paulo;25;Aérea;1;2014;janeiro;1;586
Oceania;7;Nova Zelândia;166;São Paulo;25;Aérea;1;2014;janeiro;1;122
Oceania;7;Outros países;998;São Paulo;25;Aérea;1;2014;janeiro;1;3
